,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,MAX,MIN,DEWP,SLP,STP,WDSP,MXSPD,PRCP,SNDP,Fog,Rain or Drizzle,Snow or Ice Pellets,Hail,Thunder,Tornado or Funnel Cloud,Median age,Immigrants,RH,SLP-STP,MSXPD-WDSP,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
256,19186,Salmonella,2013/3/14,2013/3/21,64,NE,Nebraska,Douglas,,,,,,,,,,,,,,,,,,,33.8375,48.93125,25.15,25.40625,1018.8,980.93125,8.125,15.49375,0.01375,0.36875,0.0,0.125,0.0625,0.0,0.0,0.0,33.6790411,30038.33836,70.88120794475147,37.86874999999998,7.36875,53318.71233,5.887272166,0.34607871,1593.34525
257,19327,Salmonella,2014/5/10,2014/5/10,19,OK,Oklahoma,Okfuskee,,,,,,,,,,,,,,,,,,,73.48,89.23,60.6,62.8,1014.7178344726562,977.62,7.51,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.17123288,973.9589041,69.30901118829354,37.097834472656245,9.49,35437.83562,4.69763836,2.205559576,19.8245135
258,19372,Salmonella,2014/5/7,2014/6/11,21,IL,Illinois,Cook,,,,,,,,,,,,,,,,,,,62.68444444,73.37611111,54.36277778,50.6,1015.116667,992.6787037,8.114444444,15.49055556,0.107583333,0.0,0.011111111,0.277777778,0.005555556,0.0,0.127777778,0.0,35.62082192,174896.0932,64.65072054630217,22.43796329999998,7.376111116000001,54717.15068,5.643467338,0.092673913,5523.688568
259,19488,Salmonella,2014/6/8,2014/6/8,11,IL,Illinois,Marion,,,,,,,,,,,,,,,,,,,71.9,80.9,65.05,62.95,1014.0782470703125,991.65,9.3,18.1,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.5,1771.767123,73.48056459030558,22.428247070312523,8.8,41446.26849,6.17593556,0.641021427,68.11529672
260,19556,Salmonella,2014/6/22,2014/6/23,18,OH,Ohio,Medina,,,,,,,,,,,,,,,,,,,70.71,83.0,58.825,58.605,1014.175,980.685,4.165,10.33,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,41.00493151,8806.332877,65.5842910375051,33.49000000000001,6.165,66132.00685,5.420797996,0.163327444,412.2180266
261,19565,Salmonella,2014/6/7,2014/6/8,6,MA,Massachusetts,Bristol,,,,,,,,,,,,,,,,,,,69.825,82.225,56.3,54.45,1012.3,1010.2,3.0375,11.83333333,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,40.31315068,20389.04795,58.172469906181675,2.099999999999909,8.79583333,55670.83151,5.507703365,0.373435548,995.3825264
262,19595,Salmonella,2014/6/20,2014/6/22,9,IL,Illinois,Cook,,,,,,,,,,,,,,,,,,,68.29333333,79.12,62.23333333,64.66666667,1013.45,991.5,5.553333333,13.86,0.231333333,0.0,0.266666667,0.6,0.0,0.0,0.4,0.0,35.60575342,174634.0521,88.2172531985705,21.950000000000045,8.306666666999998,54696.05479,5.644224808,0.093536994,5522.45681
263,19642,Salmonella,2014/7/2,2014/7/5,101,FL,Florida,Liberty,,,,,,,,,,,,,,,,,,,82.1825,91.835,73.795,48.1575,1016.7325,1013.825,4.5375,9.7825,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.40328767,1234.383562,30.590701927852514,2.9074999999999136,5.245000000000001,39339.2863,3.492917321,3.830404275,9.939481158
264,20051,Salmonella,2014/7/26,2014/7/26,30,OK,Oklahoma,Pawnee,,,,,,,,,,,,,,,,,,,85.38,98.74,74.51,71.49,1010.87,978.72,8.84,13.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.7,1217.594521,63.359586914736674,32.14999999999998,5.15,44189.72877,6.268609317,0.359718656,29.19350871
265,19936,Salmonella,2014/5/19,2014/7/23,11,NY,New York,Kings,,,,,,,,,,,,,,,,,,,71.02727273,80.22676768,63.79848485,57.27348485,1015.673737,1014.984848,7.388383838,14.41414141,0.082373737,0.0,0.015151515,0.272727273,0.0,0.0,0.111111111,0.0,34.2530137,92162.53699,61.85529257265445,0.6888889999999037,7.025757571999999,46547.80959,5.715438596,0.05344683,36094.74171
266,20072,Salmonella,2014/6/15,2014/6/17,10,GA,Georgia,Coweta,,,,,,,,,,,,,,,,,,,80.16666667,92.43333333,68.43333333,70.36666667,1015.5178833007812,985.3333333,1.333333333,8.366666667,0.0,0.0,0.0,0.333333333,0.0,0.0,0.333333333,0.0,37.20849315,10125.09589,72.16024304136836,30.1845500007812,7.033333334000001,61273.55342,4.875363736,0.072639415,295.9782843
267,20194,Salmonella,2014/5/3,2014/5/3,18,CA,California,Orange,,,,,,,,,,,,,,,,,,,75.23333333,93.56666667,59.06666667,45.43333333,1012.566667,1010.333333,3.833333333,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.59890411,134385.1644,34.673478439739036,2.2333340000000135,6.866666666999999,75803.89589,5.587346601,0.306935194,3889.199885
268,20080,Salmonella,2014/7/11,2014/7/12,14,FL,Florida,Lee,,,,,,,,,,,,,,,,,,,79.1625,88.425,74.3,72.55,1019.5125,1018.575,4.55,14.125,0.42375,0.0,0.0,0.5,0.0,0.0,0.5,0.0,46.1890411,47342.17808,80.28451330248164,0.9375,9.575,47660.65068,7.580589249,0.727091491,816.2914186
269,20096,Salmonella,2014/7/21,2014/7/27,7,MN,Minnesota,Hennepin,Ramsey,,,,,,,,,,,,,,,,,,75.42142857,85.08571429,66.26428571,62.18571429,1013.278571,983.3678571,7.785714286,16.22142857,0.053214286,0.0,0.0,0.25,0.0,0.0,0.142857143,0.0,35.32191781,61837.21918,63.56822881551795,29.91071390000002,8.435714284,59728.94521,5.484088765,0.225429929,2764.747309
270,20175,Salmonella,2014/7/31,2014/8/2,10,FL,Florida,Santa Rosa,,,,,,,,,,,,,,,,,,,78.21111111,89.4,67.45555556,64.73333333,1014.822222,1009.844444,3.366666667,7.788888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28328767,15826.87123,63.375637919183724,4.9777780000000575,4.422222222,57909.55342,6.155589846,0.576468144,154.8888825
271,20203,Salmonella,2014/6/28,2014/6/28,22,ND,North Dakota,Sargent,,,,,,,,,,,,,,,,,,,72.0,78.8,68.0,69.8,1012.996826171875,993.9727172851562,11.2,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.6509589,228.8931507,92.80998255918165,19.02410888671875,15.8,55146.21644,2.575914509,2.893797546,4.497371441
272,20216,Salmonella,2014/8/15,2014/8/15,37,VA,Virginia,Harrisonburg,,,,,,,,,,,,,,,,,,,65.45,82.79,48.76,50.17,1015.0,978.67,2.51,10.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.93780822,11871.72603,57.76817359353852,36.33000000000004,8.25,38334.96438,12.58275625,1.417167294,2885.441077
273,20225,Salmonella,2014/7/27,2014/8/24,16,FL,Florida,Columbia,,,,,,,,,,,,,,,,,,,82.77413793,95.08344828,73.75827586,72.13275862,1015.562414,1010.863793,5.050344828,12.90137931,0.093793103,0.0,0.0,0.586206897,0.0,0.0,0.413793103,0.0,40.09589041,6686.167123,70.3959840802142,4.698621000000003,7.851034481999999,38510.36164,5.562146673,0.331558945,84.76350339
274,20237,Salmonella,2014/7/26,2014/7/26,20,MN,Minnesota,Becker,,,,,,,,,,,,,,,,,,,70.0,80.6,55.4,58.7,1014.1387329101562,959.7,6.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.6,1732.50411,67.41523605579357,54.438732910156205,11.100000000000001,50757.69315,5.171149778,2.447179318,24.99545462
275,20241,Salmonella,2014/7/27,2014/12/6,21,NY,New York,Columbia,Dutchess,Erie,Monroe,Nassau,New York,Suffolk,,,,,,,,,,,,,58.24283249,66.99380629,50.36661614,45.74421574,1016.498003,1006.661082,4.535488906,12.50086633,0.073655423,0.0,0.029481599,0.174132442,0.022050741,0.0,0.016754994,0.0,40.50344423,41327.61213,63.09420431152416,9.836921000000075,7.965377423999999,69895.47436,4.806065957,0.333048217,11330.75597
276,20260,Salmonella,2014/5/31,2014/5/31,9,CO,Colorado,Arapahoe,,,,,,,,,,,,,,,,,,,62.4,79.9,49.1,51.6,1014.3,828.6,6.4,18.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.95863014,62975.4137,67.76116226489913,185.69999999999993,11.700000000000001,61566.80274,5.981195037,0.112174925,741.7467822
277,20284,Salmonella,2014/8/16,2014/8/17,11,MO,Missouri,Cooper,,,,,,,,,,,,,,,,,,,73.7,85.1,56.8,70.5,1015.3954467773438,986.05,5.25,11.0,0.35,0.0,0.0,1.0,0.0,0.0,0.5,0.0,38.61219178,1787.367123,89.76481621722864,29.345446777343795,5.75,45285.19178,5.830653,1.267327555,31.12437576
278,20297,Salmonella,2014/7/27,2014/7/27,8,IL,Illinois,Cook,,,,,,,,,,,,,,,,,,,77.06666667,85.55,70.15,65.2,1007.35,985.6333333,9.516666667,22.7,0.0,0.0,0.166666667,0.166666667,0.0,0.0,0.0,0.0,35.5860274,174291.0164,66.88906592398685,21.71666670000002,13.183333332999998,54668.43836,5.645216406,0.094666845,5520.844326
279,20350,Salmonella,2014/6/27,2014/7/25,20,KY,Kentucky,Trigg,,,,,,,,,,,,,,,,,,,73.7462069,84.14827586,64.17034483,64.44206897,1017.189655,998.4727586,4.374137931,10.28275862,0.021724138,0.0,0.0,0.275862069,0.0,0.0,0.068965517,0.0,44.54219178,639.6136986,72.7567469999382,18.716896399999996,5.908620688999999,45474.48493,3.494820998,1.363529621,32.35691351
280,20411,Salmonella,2014/7/15,2014/8/15,12,SC,South Carolina,Charleston,,,,,,,,,,,,,,,,,,,80.19875,87.65875,74.235,72.24895833,1015.634375,1014.1,4.175,11.1203125,0.25721875,0.0,0.025,0.3875,0.0,0.0,0.21875,0.0,36.08410959,30210.29863,76.82822538503784,1.5343749999999545,6.945312500000001,51334.9274,7.573969657,0.284965715,394.7797287
281,20434,Salmonella,2014/8/16,2014/8/16,30,KS,Kansas,Crawford,,,,,,,,,,,,,,,,,,,81.2,93.2,76.1,69.5,1012.8521728515625,977.3,9.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.82493151,3121.482192,67.74499370802559,35.552172851562545,6.0,37293.92329,7.271886249,0.941382197,66.49765588
282,20477,Salmonella,2014/5/19,2014/6/10,46,NC,North Carolina,Watauga,,,,,,,,,,,,,,,,,,,63.76521739,74.78695652,53.56521739,54.53478261,1013.5950317382812,915.7217391,5.252173913,13.96956522,0.059047619,0.0,0.086956522,0.434782609,0.0,0.0,0.347826087,0.0,29.09452055,8051.191781,71.93031684091895,97.87329263828121,8.717391307,34998.67123,13.72936839,0.266424454,165.6027906
283,20501,Salmonella,2014/8/27,2014/9/19,30,WI,Wisconsin,Winnebago,,,,,,,,,,,,,,,,,,,62.35833333,71.92916667,53.875,54.63333333,1016.1625,986.1416667,6.716666667,12.72916667,0.100833333,0.0,0.0,0.5,0.0,0.0,0.125,0.0,37.66863014,11132.80548,75.84159711678613,30.02083330000005,6.0125000029999995,51304.56301,6.608171559,0.564481839,386.7372675
284,20503,Salmonella,2014/8/31,2014/10/6,15,NY,New York,Chemung,,,,,,,,,,,,,,,,,,,60.7972973,75.95945946,46.6972973,53.67837838,1018.22973,983.6486486,3.948648649,10.91891892,0.059189189,0.0,0.567567568,0.405405405,0.0,0.0,0.081081081,0.0,41.0430137,4695.383562,77.39543846890278,34.581081400000016,6.9702702709999995,49055.02466,6.201600963,0.246956483,218.0445277
285,20510,Salmonella,2014/8/23,2014/8/23,8,UT,Utah,Salt Lake,,,,,,,,,,,,,,,,,,,61.4,82.9,54.0,50.5,1012.8,870.7,8.0,21.0,0.38,0.0,0.0,1.0,0.0,0.0,1.0,0.0,31.30684932,55710.57534,67.39404039970218,142.0999999999999,13.0,60872.34247,5.091086911,0.122320194,1419.657353
286,20543,Salmonella,2014/8/29,2014/8/29,10,OH,Ohio,Franklin,,,,,,,,,,,,,,,,,,,70.65,85.2,58.45,56.05,1018.95,988.85,4.5,7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.66794521,71675.54521,59.94624983514514,30.100000000000023,3.45,51221.14247,5.865318674,0.127230395,2230.746162
287,20546,Salmonella,2014/8/4,2014/9/2,50,TN,Tennessee,Washington,,,,,,,,,,,,,,,,,,,72.211,85.157,61.293,53.023,1015.77,965.3736667,2.291333333,8.534666667,0.117333333,0.0,0.033333333,0.266666667,0.0,0.0,0.0,0.0,39.63684932,8134.479452,50.92552809832734,50.39633330000004,6.243333334,42391.90411,6.865759878,0.037282677,380.5103786
288,20552,Salmonella,2014/8/14,2014/9/26,8,MN,Minnesota,Anoka,Chisago,Dakota,Hennepin,Ramsey,Washington,,,,,,,,,,,,,,65.07712121,75.69364268,56.8868971,56.41141414,1014.994432,986.3594665,5.494820076,11.92192551,0.103899892,0.0,0.055871212,0.434659091,0.0,0.0,0.151515152,0.0,37.1869863,31454.77169,73.55367840229546,28.634965499999907,6.427105434,69000.25114,4.886455853,0.262504878,1298.515114
289,20577,Salmonella,2014/7/27,2014/8/24,15,MA,Massachusetts,Bristol,,,,,,,,,,,,,,,,,,,69.56896552,79.3137931,60.29137931,59.40862069,1014.67069,1012.57931,4.00862069,11.55402299,0.025689655,0.0,0.155172414,0.137931034,0.0,0.0,0.025862069,0.0,40.27835616,20302.93151,70.16586009348646,2.091380000000072,7.5454023,55556.18356,5.468494145,0.364433755,995.0066499
290,20599,Salmonella,2014/5/14,2014/5/15,7,WA,Washington,Pierce,,,,,,,,,,,,,,,,,,,66.48,80.86,50.47,48.8375,1021.9625,1010.316667,2.6,9.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8,57333.73836,53.04356914140327,11.645832999999925,6.512500000000001,59524.17397,5.543994812,0.38511273,485.1816295
291,20602,Salmonella,2014/9/14,2014/9/16,7,IL,Illinois,DeKalb,,,,,,,,,,,,,,,,,,,50.06666667,62.51666667,39.63333333,43.5,1017.2180786132812,988.4,4.433333333,9.333333333,0.005,0.0,0.0,0.166666667,0.0,0.0,0.0,0.0,29.65863014,10055.09041,78.06256812592326,28.818078613281273,4.9,53491.08767,7.08739142,0.411633661,166.0816745
292,20610,Salmonella,2014/9/7,2014/9/7,7,SC,South Carolina,Richland,,,,,,,,,,,,,,,,,,,78.15,90.1,71.4,72.4,1015.45,1007.05,2.25,12.55,0.03,0.0,0.5,1.0,0.0,0.0,1.0,0.0,32.63150685,45360.49315,82.57856880500002,8.400000000000091,10.3,48458.24658,6.793293622,0.241607317,516.4224694
